Sample,Amplitude(V)
2.440000000000000000e+02,1.190545384093767145e-01
2.450000000000000000e+02,1.087280829216315248e-01
2.460000000000000000e+02,9.840162743388572442e-02
2.470000000000000000e+02,8.807517194614052081e-02
2.480000000000000000e+02,8.114996717147292260e-02
2.490000000000000000e+02,7.656043139914135709e-02
2.500000000000000000e+02,7.197089562680979158e-02
2.510000000000000000e+02,6.738135985447822607e-02
2.520000000000000000e+02,6.279182408214666056e-02
2.530000000000000000e+02,5.820228830981535872e-02
2.540000000000000000e+02,5.305628208854020617e-02
2.550000000000000000e+02,4.789305434466746558e-02
2.560000000000000000e+02,4.272982660079442663e-02
2.570000000000000000e+02,3.718557266944364642e-02
2.580000000000000000e+02,3.030126901094641959e-02
2.590000000000000000e+02,2.401433691756267585e-02
2.600000000000000000e+02,1.885110917368963343e-02
2.610000000000000000e+02,1.368788142981659448e-02
2.620000000000000000e+02,8.524653685943853892e-03
2.630000000000000000e+02,3.018071835276227733e-03
2.640000000000000000e+02,-2.718847880138149792e-03
2.650000000000000000e+02,-8.455767595552526883e-03
2.660000000000000000e+02,-1.419268731096690397e-02
2.670000000000000000e+02,-1.992960702638128107e-02
2.680000000000000000e+02,-2.566652674179565469e-02
2.690000000000000000e+02,-3.588104233265550919e-02
2.700000000000000000e+02,-4.568439407149105930e-02
2.710000000000000000e+02,-5.084762181536343906e-02
2.720000000000000000e+02,-5.601084955923642250e-02
2.730000000000000000e+02,-6.117407730310940595e-02
2.740000000000000000e+02,-6.694436371855719270e-02
2.750000000000000000e+02,-7.382866737705454097e-02
2.760000000000000000e+02,-8.235977913397296568e-02
2.770000000000000000e+02,-9.268623462171893257e-02
2.780000000000000000e+02,-1.009331912557722283e-01
2.790000000000000000e+02,-1.078174949142686606e-01
2.800000000000000000e+02,-1.147017985727658979e-01
2.810000000000000000e+02,-1.215861022312631490e-01
2.820000000000000000e+02,-1.284704058897604695e-01
2.830000000000000000e+02,-1.353547095482578178e-01
2.840000000000000000e+02,-1.422390132067551660e-01
2.850000000000000000e+02,-1.491233168652525143e-01
2.860000000000000000e+02,-1.560076205237498626e-01
2.870000000000000000e+02,-1.623580569817126840e-01
2.880000000000000000e+02,-1.669475927540441940e-01
2.890000000000000000e+02,-1.715371285263757317e-01
2.900000000000000000e+02,-1.761266642987072417e-01
2.910000000000000000e+02,-1.807162000710387795e-01
2.920000000000000000e+02,-1.853057358433702895e-01
2.930000000000000000e+02,-1.912945203267785721e-01
2.940000000000000000e+02,-1.981788239852758093e-01
